Edad,Rotacion,ViajesNegocio,TarifaDiaria,Departamento,DistanciaCasa,Educacion,CampoEducativo,NumeroEmpleados,SatisfaccionEntorno,Genero,TarifaHora,Involucramiento,NivelPuesto,RolTrabajo,SatisfaccionLaboral,EstadoCivil,IngresoMensual,TarifaMensual,NumEmpresas,Mayor18,HorasExtra,PorcentajeAumento,Rendimiento,SatisfaccionRelacion,HorasEstandar,NivelStock,AniosTotales,CapacitacionesAnio,BalanceVidaTrabajo,AniosEmpresa,AniosRolActual,AniosDesdeAscenso,AniosConJefe
37,yes,travel_rarely,1373,research & development,2,2,other,1,4,male,92,2,1,laboratory technician,3,single,2090,2396,6,y,yes,15,3,2,80,0,7,3,3,0,0,0,0
33,no,travel_frequently,1392,research & development,3,4,life sciences,1,4,female,56,3,1,research scientist,3,married,2909,23159,1,y,yes,11,3,3,80,0,8,3,3,8,7,3,0
32,no,travel_frequently,1005,research & development,2,2,life sciences,1,4,male,79,3,1,laboratory technician,4,single,3068,11864,0,y,no,13,3,3,80,0,8,2,2,7,7,3,6
36,no,travel_rarely,1299,research & development,27,3,medical,1,3,male,94,3,2,healthcare representative,3,married,5237,16577,6,y,no,13,3,2,80,2,17,3,2,7,7,7,7
29,no,travel_rarely,153,research & development,15,2,life sciences,1,4,female,49,2,2,laboratory technician,3,single,4193,12682,0,y,yes,12,3,4,80,0,10,3,3,9,5,0,8
31,no,travel_rarely,670,research & development,26,1,life sciences,1,1,male,31,3,1,research scientist,3,divorced,2911,15170,1,y,no,17,3,4,80,1,5,1,2,5,2,4,3
34,no,travel_rarely,1346,research & development,19,2,medical,1,2,male,93,3,1,laboratory technician,4,divorced,2661,8758,0,y,no,11,3,3,80,1,3,2,3,2,2,1,2
28,yes,travel_rarely,103,research & development,24,3,life sciences,1,3,male,50,2,1,laboratory technician,3,single,2028,12947,5,y,yes,14,3,2,80,0,6,4,3,4,2,0,3
22,no,non-travel,1123,research & development,16,2,medical,1,4,male,96,4,1,laboratory technician,4,divorced,2935,7324,1,y,yes,13,3,2,80,2,1,2,2,1,0,0,0
38,no,travel_rarely,371,research & development,2,3,life sciences,1,4,male,45,3,1,research scientist,4,single,3944,4306,5,y,yes,11,3,3,80,0,6,3,3,3,2,1,2
34,no,travel_rarely,419,research & development,7,4,life sciences,1,1,female,53,3,3,research director,2,single,11994,21293,0,y,no,11,3,3,80,0,13,4,3,12,6,2,11
34,yes,travel_rarely,699,research & development,6,1,medical,1,2,male,83,3,1,research scientist,1,single,2960,17102,2,y,no,11,3,3,80,0,8,2,3,4,2,1,3
42,no,travel_rarely,691,sales,8,4,marketing,1,3,male,48,3,2,sales executive,2,married,6825,21173,0,y,no,11,3,4,80,1,10,2,3,9,7,4,2
33,no,travel_rarely,924,research & development,2,3,medical,1,3,male,78,3,1,laboratory technician,4,single,2496,6670,4,y,no,11,3,4,80,0,7,3,3,1,1,0,0
